date,state,value
2022-09-17,Alabama,44
2022-09-17,Alaska,40
2022-09-17,Arizona,200
2022-09-17,Arkansas,29 
2022-09-17,California,100
2022-09-17,Colorado,30
2022-09-17,Connecticut,26
2022-09-17,Delaware,10
2022-09-17,District of Columbia,55
2022-09-17,Florida,219
2022-09-17,Georgia,69
2022-09-17,Hawaii,10
2022-09-17,Idaho,17
2022-09-17,Illinois,81
2022-09-17,Indiana,54
2022-09-17,Iowa,29
2022-09-17,Kansas,21
2022-09-17,Kentucky,87
2022-09-17,Louisiana,38
2022-09-17,Maine,12
2022-09-17,Maryland,57
2022-09-17,Massachusetts,40
2022-09-17,Michigan,92
2022-09-17,Minnesota,46
2022-09-17,Mississippi,49
2022-09-17,Missouri,51
2022-09-17,Montana,60
2022-09-17,Nebraska,35
2022-09-17,Nevada,11
2022-09-17,New Hampshire,12
2022-09-17,New Jersey,49
2022-09-17,New Mexico,10
2022-09-17,New York,91
2022-09-17,New York City,49
2022-09-17,North Carolina,89
2022-09-17,North Dakota,11
2022-09-17,Ohio,114
2022-09-17,Oklahoma,56
2022-09-17,Oregon,36
2022-09-17,Pennsylvania,114
2022-09-17,Puerto Rico,47
2022-09-17,Rhode Island,
2022-09-17,South Carolina,37
2022-09-17,South Dakota,13
2022-09-17,Tennessee,86
2022-09-17,Texas,169
2022-09-17,Utah,13
2022-09-17,Vermont,90
2022-09-17,Virginia,78
2022-09-17,Washington,39
2022-09-17,West Virginia,32
2022-09-17,Wisconsin,36
2022-09-17,Wyoming,0
