week,state,value
2020-01-04,Alabama,0.0
2020-01-04,Alaska,0.0
2020-01-04,Arizona,0.0
2020-01-04,Arkansas,0.0
2020-01-04,California,0.0
2020-01-04,Colorado,0.0
2020-01-04,Connecticut,0.0
2020-01-04,Delaware,0.0
2020-01-04,Maryland,0.0
2020-01-04,Florida,0.0
2020-01-04,Georgia,0.0
2020-01-04,Hawaii,0.0
2020-01-04,Idaho,0.0
2020-01-04,Illinois,0.0
2020-01-04,Indiana,0.0
2020-01-04,Iowa,0.0
2020-01-04,Kansas,0.0
2020-01-04,Kentucky,0.0
2020-01-04,Louisiana,0.0
2020-01-04,Maine,0.0
2020-01-04,Massachusetts,0.0
2020-01-04,Michigan,0.0
2020-01-04,Minnesota,0.0
2020-01-04,Mississippi,0.0
2020-01-04,Missouri,0.0
2020-01-04,Montana,0.0
2020-01-04,Nebraska,0.0
2020-01-04,Nevada,0.0
2020-01-04,New Hampshire,0.0
2020-01-04,New Jersey,0.0
2020-01-04,New Mexico,0.0
2020-01-04,New York,0.0
2020-01-04,North Carolina,0.0
2020-01-04,North Dakota,0.0
2020-01-04,Ohio,0.0
2020-01-04,Oklahoma,0.0
2020-01-04,Oregon,0.0
2020-01-04,Pennsylvania,0.0
2020-01-04,Puerto Rico,0.0
2020-01-04,Rhode Island,0.0
2020-01-04,South Carolina,0.0
2020-01-04,South Dakota,0.0
2020-01-04,Tennessee,0.0
2020-01-04,Texas,0.0
2020-01-04,Utah,0.0
2020-01-04,Vermont,0.0
2020-01-04,Virginia,0.0
2020-01-04,Washington,0.0
2020-01-04,West Virginia,0.0
2020-01-04,Wisconsin,0.0
2020-01-04,Wyoming,0.0
2020-01-11,Alabama,0.0
2020-01-11,Alaska,0.0
2020-01-11,Arizona,0.0
2020-01-11,Arkansas,0.0
2020-01-11,California,0.0
2020-01-11,Colorado,0.0
2020-01-11,Connecticut,0.0
2020-01-11,Delaware,0.0
2020-01-11,Maryland,0.0
2020-01-11,Florida,0.0
2020-01-11,Georgia,0.0
2020-01-11,Hawaii,0.0
2020-01-11,Idaho,0.0
2020-01-11,Illinois,0.0
2020-01-11,Indiana,0.0
2020-01-11,Iowa,0.0
2020-01-11,Kansas,No Data
2020-01-11,Kentucky,0.0
2020-01-11,Louisiana,0.0
2020-01-11,Maine,0.0
2020-01-11,Massachusetts,0.0
2020-01-11,Michigan,0.0
2020-01-11,Minnesota,0.0
2020-01-11,Mississippi,0.0
2020-01-11,Missouri,0.0
2020-01-11,Montana,0.0
2020-01-11,Nebraska,0.0
2020-01-11,Nevada,0.0
2020-01-11,New Hampshire,0.0
2020-01-11,New Jersey,0.0
2020-01-11,New Mexico,0.0
2020-01-11,New York,0.0
2020-01-11,North Carolina,0.0
2020-01-11,North Dakota,0.0
2020-01-11,Ohio,0.0
2020-01-11,Oklahoma,0.0
2020-01-11,Oregon,0.0
2020-01-11,Pennsylvania,0.0
