week,origin_state,dest_state,count
2020-01-04,Alabama,Colorado,3
2020-01-04,District of Columbia,Oregon,9
2020-01-04,Michigan,Washington,35
2020-01-04,Pennsylvania,Washington,22
2020-01-04,Washington,Oklahoma,7
2020-01-04,District of Columbia,Pennsylvania,17
2020-01-04,District of Columbia,Rhode Island,15
2020-01-04,Michigan,Texas,110
2020-01-04,Arizona,Washington,171
2020-01-04,Michigan,Tennessee,51
2020-01-04,Ohio,Utah,15
2020-01-04,Utah,Michigan,28
2020-01-04,District of Columbia,South Carolina,2
2020-01-04,Michigan,South Carolina,3
2020-01-04,South Dakota,Colorado,13
2020-01-04,Michigan,Rhode Island,6
2020-01-04,District of Columbia,Tennessee,32
2020-01-04,Ohio,Wisconsin,11
2020-01-04,Michigan,Pennsylvania,33
2020-01-04,Michigan,Oregon,6
2020-01-04,Michigan,Ohio,10
2020-01-04,Ohio,Washington,11
2020-01-04,District of Columbia,Texas,211
2020-01-04,Michigan,Wisconsin,17
2020-01-04,District of Columbia,Oklahoma,6
2020-01-04,Ohio,Tennessee,26
2020-01-04,Minnesota,Georgia,81
2020-01-04,Utah,Maryland,13
2020-01-04,Tennessee,Texas,224
2020-01-04,South Carolina,Washington,5
2020-01-04,Minnesota,Florida,180
2020-01-04,District of Columbia,New York,55
2020-01-04,Minnesota,District of Columbia,38
2020-01-04,District of Columbia,North Carolina,78
2020-01-04,Texas,Hawaii,46
2020-01-04,Arizona,Wisconsin,40
2020-01-04,Minnesota,Colorado,95
2020-01-04,Washington,Oregon,49
2020-01-04,Minnesota,California,163
2020-01-04,District of Columbia,Ohio,13
2020-01-04,Ohio,Texas,84
2020-01-04,Minnesota,Arizona,87
2020-01-04,Minnesota,Alaska,6
2020-01-04,South Dakota,Arizona,9
2020-01-04,Utah,Massachusetts,20
2020-01-04,Minnesota,Connecticut,5
2020-01-04,Ohio,South Carolina,1
2020-01-04,Michigan,North Carolina,76
2020-01-04,Michigan,New York,94
2020-01-04,Florida,Alabama,25
2020-01-04,Michigan,Indiana,1
2020-01-04,Michigan,Illinois,91
2020-01-04,Michigan,Hawaii,2
2020-01-04,Michigan,Georgia,133
2020-01-04,Utah,Montana,25
2020-01-04,Florida,Arizona,93
2020-01-04,Alaska,Illinois,4
2020-01-04,Michigan,Florida,397
2020-01-04,Michigan,Louisiana,28
2020-01-04,Florida,Arkansas,5
2020-01-04,Michigan,District of Columbia,45
2020-01-04,Arizona,Texas,387
2020-01-04,Michigan,Connecticut,12
2020-01-04,Florida,California,298
2020-01-04,Oklahoma,Colorado,41
2020-01-04,Michigan,Colorado,61
2020-01-04,Michigan,California,104
2020-01-04,South Dakota,Minnesota,14
2020-01-04,Washington,North Carolina,34
2020-01-04,Pennsylvania,Ohio,4
2020-01-04,Utah,Minnesota,34
2020-01-04,South Dakota,Georgia,6
2020-01-04,Oklahoma,California,2
2020-01-04,District of Columbia,Utah,14
2020-01-04,Arizona,Utah,125
2020-01-04,Alaska,Minnesota,6
2020-01-04,Michigan,New Jersey,10
2020-01-04,Michigan,Nevada,71
2020-01-04,Pennsylvania,Pennsylvania,37
2020-01-04,Oklahoma,Arizona,28
2020-01-04,Washington,Ohio,11
2020-01-04,Michigan,Montana,2
2020-01-04,Michigan,Maryland,51
2020-01-04,District of Columbia,Virginia,1
2020-01-04,Michigan,Missouri,62
2020-01-04,Michigan,Minnesota,67
2020-01-04,District of Columbia,Washington,42
2020-01-04,Wisconsin,Texas,30
2020-01-04,Wyoming,Texas,12
2020-01-04,Michigan,Michigan,36
2020-01-04,Utah,Missouri,30
2020-01-04,Michigan,Massachusetts,61
2020-01-04,District of Columbia,Wisconsin,13
2020-01-04,South Dakota,Florida,6
2020-01-04,Florida,Colorado,264
2020-01-04,District of Columbia,New Jersey,21
2020-01-04,Minnesota,Idaho,6
2020-01-04,South Carolina,Ohio,1
2020-01-04,Missouri,Connecticut,6
2020-01-04,Missouri,Colorado,96
2020-01-04,District of Columbia,Colorado,87
2020-01-04,Missouri,California,114
2020-01-04,Ohio,Minnesota,11
2020-01-04,Missouri,Arkansas,13
2020-01-04,Missouri,Arizona,83
2020-01-04,Utah,Georgia,58
2020-01-04,Wisconsin,Tennessee,13
2020-01-04,District of Columbia,Connecticut,4
2020-01-04,South Carolina,Pennsylvania,1
2020-01-04,Ohio,Missouri,30
